제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
지프 체로키 패딩 (JK0JPU402WH),https://www.musinsa.com/app/goods/1587825,399000,59850,지프,3.1천 회 이상,,83,//image.msscdn.net/images/goods_img/20200907/1587825/1587825_2_500.jpg?t=20201022143051,,,,,,,,
TC4-JP05 시티 숏 다운 -네이비,https://www.musinsa.com/app/goods/2196270,297000,297000,토마스모어,5.6천 회 이상,200개 이상,"1,836",//image.msscdn.net/images/goods_img/20211025/2196270/2196270_1_500.jpg?t=20211025164912,79%,21%,4%,18%,38%,19%,13%,8%
SIOT4010 glossy duckdown PD_Mocha,https://www.musinsa.com/app/goods/2945788,229000,229000,시야쥬,500회 이상,,58,//image.msscdn.net/images/goods_img/20221116/2945788/2945788_1_500.jpg?t=20221116160412,,,,,,,,
퍼핀 숏 푸퍼 자켓 패턴,https://www.musinsa.com/app/goods/2860771,199000,199000,와릿이즌,2.4천 회 이상,,92,//image.msscdn.net/images/goods_img/20221013/2860771/2860771_4_500.jpg?t=20221026183621,,,,,,,,
NJ1DN55K 닐턴 다운 자켓,https://www.musinsa.com/app/goods/2954611,318000,318000,노스페이스,100회 이상,,10,//image.msscdn.net/images/goods_img/20221122/2954611/2954611_1_500.jpg?t=20221122134322,,,,,,,,
[뉴진스 착용] SIGNATURE DOWN JACKET [SKY BLUE],https://www.musinsa.com/app/goods/2721703,199000,189050,5252 바이 오아이오아이,2.2천 회 이상,,317,//image.msscdn.net/images/goods_img/20220817/2721703/2721703_2_500.jpg?t=20221118112331,,,,,,,,
[20FW] N204WDW930 여성 타루가 RDS 덕 다운 점퍼 D BEIGE,https://www.musinsa.com/app/goods/1515897,359000,215400,내셔널지오그래픽,4.6천 회 이상,100개 이상,"1,400",//image.msscdn.net/images/goods_img/20200715/1515897/1515897_1_500.jpg?t=20220628153710,20%,80%,20%,20%,16%,6%,8%,30%
3M 신슐레이트 필드 숏패딩 그레이,https://www.musinsa.com/app/goods/2053303,139000,69900,트래블,700회 이상,50개 이상,315,//image.msscdn.net/images/goods_img/20210809/2053303/2053303_2_500.jpg?t=20210820171147,79%,21%,10%,22%,26%,15%,15%,12%
덕다운 패딩점퍼 회색 KHOT1278,https://www.musinsa.com/app/goods/1629971,89800,52800,페플,900회 이상,100개 이상,626,//image.msscdn.net/images/goods_img/20200929/1629971/1629971_3_500.jpg?t=20201126144525,67%,33%,23%,25%,27%,11%,4%,10%
토트넘롱다운 TTNRJP02 [BLACK],https://www.musinsa.com/app/goods/1246668,328000,97900,토트넘 어패럴,3.8천 회 이상,200개 이상,"1,266",//image.msscdn.net/images/goods_img/20191206/1246668/1246668_4_500.jpg?t=20191211131131,55%,45%,7%,22%,35%,12%,5%,19%
코듀로이 다운 점퍼 CORDUROY DOWN JP,https://www.musinsa.com/app/goods/2192403,229000,229000,아웃도어 프로덕츠,4.2천 회 이상,100개 이상,"2,114",//image.msscdn.net/images/goods_img/20211021/2192403/2192403_3_500.jpg?t=20220920161048,37%,63%,7%,30%,34%,12%,10%,7%
디테쳐블 후드 패딩 [매트 블랙],https://www.musinsa.com/app/goods/2895631,178000,160200,밀로,2.1천 회 이상,,111,//image.msscdn.net/images/goods_img/20221026/2895631/2895631_1_500.jpg?t=20221027113032,,,,,,,,
Light Down Jacket (JN5JPU481IV),https://www.musinsa.com/app/goods/2831869,199000,159200,지프,6.1천 회 이상,50개 미만,634,//image.msscdn.net/images/goods_img/20220930/2831869/2831869_1_500.jpg?t=20221005163902,35%,65%,25%,15%,10%,10%,10%,30%
에센셜 구스 숏다운(FE2DJD6103XBLK),https://www.musinsa.com/app/goods/2194540,159000,159000,휠라,3.1천 회 이상,1천 개 이상,"2,644",//image.msscdn.net/images/goods_img/20211022/2194540/2194540_3_500.jpg?t=20211025143011,38%,62%,22%,22%,20%,11%,4%,21%
Compass Quilting Jumper  (JM5JPU284BE),https://www.musinsa.com/app/goods/2237648,179000,80550,지프,6.3천 회 이상,50개 미만,234,//image.msscdn.net/images/goods_img/20211117/2237648/2237648_1_500.jpg?t=20211117162442,88%,12%,2%,5%,16%,26%,28%,23%
퍼텍스 노던 다운 푸퍼 PERTEX NORDEN DOWN PUFFER,https://www.musinsa.com/app/goods/2192400,259000,259000,아웃도어 프로덕츠,1.2천 회 이상,,168,//image.msscdn.net/images/goods_img/20211021/2192400/2192400_3_500.jpg?t=20220920161108,,,,,,,,
N224WDW940 여성 맬러드 숏기장 덕 다운 점퍼 WHITE,https://www.musinsa.com/app/goods/2893746,359000,329000,내셔널지오그래픽,2.6천 회 이상,,195,//image.msscdn.net/images/goods_img/20221026/2893746/2893746_1_500.jpg?t=20221026112313,,,,,,,,
puffer down black,https://www.musinsa.com/app/goods/2896000,369000,369000,로드 존 그레이,4.7천 회 이상,,204,//image.msscdn.net/images/goods_img/20221026/2896000/2896000_1_500.jpg?t=20221026173937,,,,,,,,
[20FW] essential puffer down jacket / gray,https://www.musinsa.com/app/goods/1564490,179000,59000,에스에스알엘,1.5천 회 이상,,169,//image.msscdn.net/images/goods_img/20200826/1564490/1564490_4_500.jpg?t=20220916172449,,,,,,,,
헤딘 코듀로이 하이넥 다운 숏패딩 (IVORY),https://www.musinsa.com/app/goods/2807787,299000,299000,디스커버리 익스페디션,2.6천 회 이상,,228,//image.msscdn.net/images/goods_img/20220921/2807787/2807787_1_500.jpg?t=20220921133853,,,,,,,,
Goose Down Puffer (Lime),https://www.musinsa.com/app/goods/2845518,348000,348000,예아,1.9천 회 이상,,127,//image.msscdn.net/images/goods_img/20221006/2845518/2845518_2_500.jpg?t=20221014143538,,,,,,,,
숏 밀리터리 야상 패딩 점퍼 (GREY BEIGE),https://www.musinsa.com/app/goods/2177353,149000,59000,토피,1.2천 회 이상,100개 이상,609,//image.msscdn.net/images/goods_img/20211014/2177353/2177353_2_500.jpg?t=20220628164641,90%,10%,8%,41%,33%,12%,1%,5%
[Mmlg] WASH HOOD DOWN (WASH GREY),https://www.musinsa.com/app/goods/2582874,309000,216300,엠엠엘지,2.1천 회 이상,,391,//image.msscdn.net/images/goods_img/20220525/2582874/2582874_1_500.jpg?t=20220817182935,,,,,,,,
퍼핀 숏 푸퍼 자켓 딥블루,https://www.musinsa.com/app/goods/2860772,199000,199000,와릿이즌,2.4천 회 이상,,90,//image.msscdn.net/images/goods_img/20221013/2860772/2860772_4_500.jpg?t=20221026183614,,,,,,,,
여성 후드 롱 다운점퍼 FLDDU925F,https://www.musinsa.com/app/goods/2243162,249000,98000,클라이드앤,900회 이상,,80,//image.msscdn.net/images/goods_img/20211122/2243162/2243162_1_500.jpg?t=20211122143033,,,,,,,,
여성) 경량 덕 다운 점퍼 [D90/10]_PHC4JP2020,https://www.musinsa.com/app/goods/2865179,99900,59900,폴햄,,,28,//image.msscdn.net/images/goods_img/20221014/2865179/2865179_1_500.jpg?t=20221014175352,,,,,,,,
NJ1DN68A 버몬트 MD 다운 자켓,https://www.musinsa.com/app/goods/2863402,269000,215200,노스페이스,3.3천 회 이상,,124,//image.msscdn.net/images/goods_img/20221014/2863402/2863402_1_500.jpg?t=20221014151152,,,,,,,,
스콧 시어링 점퍼 8143 그레이,https://www.musinsa.com/app/goods/2821456,298000,208600,캉골,3.2천 회 이상,50개 미만,453,//image.msscdn.net/images/goods_img/20220927/2821456/2821456_6_500.jpg?t=20221115170113,35%,65%,5%,40%,25%,20%,5%,5%
072926 목넥 덕파이버 다운 자켓(유광)_3color,https://www.musinsa.com/app/goods/2889484,148000,133200,지오다노,3.9천 회 이상,,147,//image.msscdn.net/images/goods_img/20221025/2889484/2889484_3_500.png?t=20221025112403,,,,,,,,
크롭 베스트 푸퍼 자켓 (T32C0WJC11TWT1L2Z),https://www.musinsa.com/app/goods/2236921,298000,298000,타미진스,800회 이상,,141,//image.msscdn.net/images/goods_img/20211117/2236921/2236921_5_500.jpg?t=20221111163004,,,,,,,,
NJ2DN66C 아스펜 라이트 다운 자켓,https://www.musinsa.com/app/goods/2845560,299000,239200,노스페이스,2.5천 회 이상,,149,//image.msscdn.net/images/goods_img/20221006/2845560/2845560_1_500.jpg?t=20221006194723,,,,,,,,
써마 핏 리펠 에어로레이어 재킷 (블랙),https://www.musinsa.com/app/goods/2280050,213500,177900,나이키,1.5천 회 이상,,180,//image.msscdn.net/images/goods_img/20211223/2280050/2280050_1_500.jpg?t=20211223105701,,,,,,,,
The Cropped Down Puffer - Steel,https://www.musinsa.com/app/goods/2878716,359000,359000,배드블러드,1천 회 이상,,77,//image.msscdn.net/images/goods_img/20221020/2878716/2878716_2_500.jpg?t=20221020212716,,,,,,,,
NC1DN00B 고 프리 다운 코트,https://www.musinsa.com/app/goods/2712599,329000,312550,노스페이스,3.4천 회 이상,,328,//image.msscdn.net/images/goods_img/20220811/2712599/2712599_1_500.jpg?t=20220811134033,,,,,,,,
7IF2087 공용 에어그램™ 플러스 프린트 다운 자켓,https://www.musinsa.com/app/goods/2797373,369000,221400,네파,1천 회 이상,,36,//image.msscdn.net/images/goods_img/20220916/2797373/2797373_1_500.jpg?t=20220927162642,,,,,,,,
[19FW] REVERSIBLE DOWN PARKA - GRAY/ORANGE,https://www.musinsa.com/app/goods/1169879,319000,111650,골스튜디오,2천 회 이상,50개 미만,422,//image.msscdn.net/images/goods_img/20190927/1169879/1169879_2_500.jpg?t=20220628162900,70%,30%,0%,4%,32%,27%,23%,14%
BLUNT 백워딩로고 숏패딩 오버핏 다운자켓(블랙),https://www.musinsa.com/app/goods/1692525,279000,80700,볼컴,5.5천 회 이상,,161,//image.msscdn.net/images/goods_img/20201117/1692525/1692525_3_500.jpg?t=20221102092949,,,,,,,,
RDS 커버라이트 후디드 다운 점퍼 오렌지,https://www.musinsa.com/app/goods/2929854,149000,134100,커버낫,1.6천 회 이상,,78,//image.msscdn.net/images/goods_img/20221109/2929854/2929854_1_500.jpg?t=20221109120454,,,,,,,,
NJ3NN73A 필드 온볼 자켓,https://www.musinsa.com/app/goods/2824299,179000,143200,노스페이스,,,259,//image.msscdn.net/images/goods_img/20220928/2824299/2824299_1_500.jpg?t=20220928102039,,,,,,,,
NJ3NN51B 루이스 온볼 자켓,https://www.musinsa.com/app/goods/2705196,159000,143100,노스페이스,4.5천 회 이상,50개 미만,169,//image.msscdn.net/images/goods_img/20220809/2705196/2705196_1_500.jpg?t=20220809100620,87%,13%,0%,23%,42%,15%,5%,15%
씬에어(THINAIR) LITE W_Light Beige,https://www.musinsa.com/app/goods/2751386,440000,380000,케이투,2천 회 이상,,145,//image.msscdn.net/images/goods_img/20220829/2751386/2751386_1_500.jpg?t=20220829171240,,,,,,,,
Cloud Parka Dark Navy,https://www.musinsa.com/app/goods/2943769,538000,538000,러프사이드,1천 회 이상,,41,//image.msscdn.net/images/goods_img/20221115/2943769/2943769_1_500.jpg?t=20221115192005,,,,,,,,
22fw quilted liner jacket olive,https://www.musinsa.com/app/goods/2747337,129000,90300,유니폼브릿지,2천 회 이상,50개 미만,148,//image.msscdn.net/images/goods_img/20220826/2747337/2747337_1_500.jpg?t=20220906174112,82%,18%,0%,32%,24%,24%,11%,9%
에센셜 구스 다운 재킷 (마룬),https://www.musinsa.com/app/goods/2054327,239000,159700,엠엠지엘,1.2천 회 이상,50개 미만,357,//image.msscdn.net/images/goods_img/20210809/2054327/2054327_3_500.jpg?t=20211007142007,59%,41%,9%,32%,31%,22%,3%,3%
COVERNAT X BLACK YAK 퍼텍스 언리미티드 익스페디션 다운 파카 블랙,https://www.musinsa.com/app/goods/2862595,349000,314100,커버낫,1만 회 이상,50개 이상,240,//image.msscdn.net/images/goods_img/20221014/2862595/2862595_3_500.jpg?t=20221026133342,64%,36%,6%,4%,18%,52%,12%,8%
시빌리제이션 푸퍼 자켓-카모,https://www.musinsa.com/app/goods/1693372,108000,30240,씨루틴,1.7천 회 이상,50개 이상,192,//image.msscdn.net/images/goods_img/20201117/1693372/1693372_1_500.jpg?t=20201117185859,73%,27%,3%,14%,12%,33%,11%,27%
하이넥 퀼팅 경량 덕다운 (MOCDDW05SA),https://www.musinsa.com/app/goods/2878621,109000,109000,마리끌레르,1.3천 회 이상,,84,//image.msscdn.net/images/goods_img/20221020/2878621/2878621_4_500.jpg?t=20221020145759,,,,,,,,
퀼팅 후드 점퍼 [2 COLOR],https://www.musinsa.com/app/goods/2809126,119000,107100,꼬모니노즈,2.6천 회 이상,50개 이상,241,//image.msscdn.net/images/goods_img/20220921/2809126/2809126_3_500.jpg?t=20220929114606,39%,61%,7%,20%,43%,11%,13%,6%
[뉴진스 착용] BOUCLE SHORT PADDING [NAVY],https://www.musinsa.com/app/goods/2850443,298000,268200,5252 바이 오아이오아이,8.2천 회 이상,50개 미만,"1,603",//image.msscdn.net/images/goods_img/20221011/2850443/2850443_2_500.jpg?t=20221013100845,10%,90%,13%,36%,26%,3%,6%,16%
BOUCLE SHORT PADDING [CAMEL],https://www.musinsa.com/app/goods/2850444,298000,268200,5252 바이 오아이오아이,4천 회 이상,,760,//image.msscdn.net/images/goods_img/20221011/2850444/2850444_1_500.jpg?t=20221011115958,,,,,,,,
듀폰 퀼팅 숏 점퍼 LH,https://www.musinsa.com/app/goods/2800733,69000,48300,세븐피겨스,900회 이상,,57,//image.msscdn.net/images/goods_img/20220919/2800733/2800733_1_500.jpg?t=20220919094154,,,,,,,,
우먼즈 브이 넥 라이트 다운 롱 재킷 [블랙],https://www.musinsa.com/app/goods/1655361,59900,29690,무신사 스탠다드,,,599,//image.msscdn.net/images/goods_img/20201020/1655361/1655361_2_500.jpg?t=20201102154718,,,,,,,,
우먼즈 오버사이즈 미들 다운 재킷 [블랙],https://www.musinsa.com/app/goods/1635357,119900,53690,무신사 스탠다드,2.2천 회 이상,100개 이상,773,//image.msscdn.net/images/goods_img/20201006/1635357/1635357_2_500.jpg?t=20201102154435,13%,87%,5%,7%,27%,21%,19%,21%
남여공용 퍼 트리밍 후드 덕다운 점퍼 (블랙),https://www.musinsa.com/app/goods/2949541,349000,99000,애드호크,300회 이상,,8,//image.msscdn.net/images/goods_img/20221118/2949541/2949541_1_500.jpg?t=20221118122549,,,,,,,,
372912 여 초경량 미드렝스 자켓_5color,https://www.musinsa.com/app/goods/2948746,128000,79000,지오다노,700회 이상,,27,//image.msscdn.net/images/goods_img/20221117/2948746/2948746_2_500.png?t=20221117192552,,,,,,,,
N214UDW940 문자크 푸퍼 코듀로이 숏 다운 OAK BEIGE,https://www.musinsa.com/app/goods/2207456,299000,239200,내셔널지오그래픽,1.9천 회 이상,50개 이상,384,//image.msscdn.net/images/goods_img/20211029/2207456/2207456_5_500.jpg?t=20220628165244,63%,37%,9%,25%,32%,22%,1%,11%
NYPM 푸퍼 숏패딩 자켓 베이지,https://www.musinsa.com/app/goods/1631161,159000,69000,네스티팜,500회 이상,50개 미만,619,//image.msscdn.net/images/goods_img/20200929/1631161/1631161_5_500.jpg?t=20220915004233,34%,66%,2%,32%,17%,20%,17%,12%
[UNI]아웃터형패딩셔츠 베이지 LWWS7102,https://www.musinsa.com/app/goods/2708923,59900,49900,베이직하우스,800회 이상,,82,//image.msscdn.net/images/goods_img/20220810/2708923/2708923_6_500.jpg?t=20220825144819,,,,,,,,
Air Down Jumper.  (GM6JPU461BK),https://www.musinsa.com/app/goods/2897140,299000,149500,지프,1.2천 회 이상,,84,//image.msscdn.net/images/goods_img/20221027/2897140/2897140_1_500.jpg?t=20221027101536,,,,,,,,
mid winter padding (black),https://www.musinsa.com/app/goods/2186714,170000,110000,줄리아페페,1.8천 회 이상,50개 미만,326,//image.msscdn.net/images/goods_img/20211019/2186714/2186714_2_500.jpg?t=20211109143316,0%,100%,4%,4%,25%,14%,21%,32%
더블후드 덕다운 롱패딩 (JJ4JPU406BK),https://www.musinsa.com/app/goods/2897127,399000,119700,지프,1.6천 회 이상,,68,//image.msscdn.net/images/goods_img/20221027/2897127/2897127_2_500.jpg?t=20221109153517,,,,,,,,
N224WDW910 여성 파나로카 경량 구스 다운 점퍼 WHITE,https://www.musinsa.com/app/goods/2893735,219000,199000,내셔널지오그래픽,2.4천 회 이상,,126,//image.msscdn.net/images/goods_img/20221026/2893735/2893735_1_500.jpg?t=20221026112231,,,,,,,,
올리브 하이넥 다운 여성 숏패딩 (L/VIOLET),https://www.musinsa.com/app/goods/2775079,259000,259000,디스커버리 익스페디션,3.1천 회 이상,,264,//image.msscdn.net/images/goods_img/20220906/2775079/2775079_1_500.jpg?t=20220906183629,,,,,,,,
F214UDW958 파일론 리버서블 다운 DBLUE,https://www.musinsa.com/app/goods/2147028,329000,197400,엔에프엘,1.6천 회 이상,50개 미만,261,//image.msscdn.net/images/goods_img/20210927/2147028/2147028_6_500.jpg?t=20220628164820,64%,36%,18%,18%,39%,11%,0%,14%
[구스 다운]그레이 울트라 오버핏 볼륨 퍼 숏 다운 하이넥 점퍼 IEJU2F002G2,https://www.musinsa.com/app/goods/2840034,289000,269000,일꼬르소,3.3천 회 이상,50개 미만,99,//image.msscdn.net/images/goods_img/20221005/2840034/2840034_1_500.jpg?t=20221005145107,78%,22%,4%,9%,26%,30%,22%,9%
브라이언22 바이커 페디드 점퍼 awa478m(BLUE),https://www.musinsa.com/app/goods/2860147,459000,459000,앤더슨벨,7.4천 회 이상,50개 미만,348,//image.msscdn.net/images/goods_img/20221013/2860147/2860147_1_500.jpg?t=20221013165751,94%,6%,0%,18%,62%,3%,15%,2%
코닉 넥리스 구스다운 BLACK,https://www.musinsa.com/app/goods/2149259,179000,159000,코닥,1.8천 회 이상,50개 이상,408,//image.msscdn.net/images/goods_img/20210928/2149259/2149259_2_500.jpg?t=20211001172259,42%,58%,7%,14%,42%,14%,9%,14%
올리브 후드 RDS 다운 여성 숏패딩 (L/MINT),https://www.musinsa.com/app/goods/2788330,279000,279000,디스커버리 익스페디션,2.9천 회 이상,,151,//image.msscdn.net/images/goods_img/20220913/2788330/2788330_3_500.jpg?t=20221115094535,,,,,,,,
primaloft gen 3 parka light grey,https://www.musinsa.com/app/goods/2890559,315000,283500,유니폼브릿지,3.2천 회 이상,,130,//image.msscdn.net/images/goods_img/20221025/2890559/2890559_1_500.jpg?t=20221031173553,,,,,,,,
QT 포켓 포인트 봄버 자켓-블랙,https://www.musinsa.com/app/goods/2177276,138000,69000,콰이어티스트,600회 이상,50개 미만,159,//image.msscdn.net/images/goods_img/20211014/2177276/2177276_1_500.jpg?t=20211015145144,55%,45%,9%,15%,12%,34%,15%,15%
베카 구스다운 여성 숏패딩 (WINE),https://www.musinsa.com/app/goods/2151954,329000,197400,디스커버리 익스페디션,1.4천 회 이상,,78,//image.msscdn.net/images/goods_img/20210929/2151954/2151954_2_500.jpg?t=20211110113939,,,,,,,,
Reversible Team Parka Beige/Forest,https://www.musinsa.com/app/goods/2355837,168000,134400,스컬프터,1.2천 회 이상,,400,//image.msscdn.net/images/goods_img/20220211/2355837/2355837_2_500.jpg?t=20220217100934,,,,,,,,
N224UDW810 브레디 모듈라 경량 구스 다운 점퍼 IRON GREY,https://www.musinsa.com/app/goods/2715393,109000,99000,내셔널지오그래픽,3.4천 회 이상,50개 미만,147,//image.msscdn.net/images/goods_img/20220812/2715393/2715393_1_500.jpg?t=20220812152808,67%,33%,13%,17%,38%,0%,7%,25%
TC4-JP03 라이카 신슐 패딩코트-카키브라운,https://www.musinsa.com/app/goods/2879923,257000,257000,토마스모어,4천 회 이상,,130,//image.msscdn.net/images/goods_img/20221020/2879923/2879923_1_500.jpg?t=20221020172405,,,,,,,,
여성 하트 크롭 패딩 NY (Cream),https://www.musinsa.com/app/goods/2811740,289000,289000,엠엘비,1.9천 회 이상,,423,//image.msscdn.net/images/goods_img/20220922/2811740/2811740_1_500.jpg?t=20220922144816,,,,,,,,
LMC ECO THINSULATE HOODED JACKET yellow,https://www.musinsa.com/app/goods/2119945,198000,99000,엘엠씨,1.6천 회 이상,50개 미만,163,//image.msscdn.net/images/goods_img/20210909/2119945/2119945_1_500.jpg?t=20210929154203,68%,32%,0%,21%,50%,14%,4%,11%
아노락 패딩 블랙,https://www.musinsa.com/app/goods/2183549,179000,71600,미스터차일드,500회 이상,50개 미만,135,//image.msscdn.net/images/goods_img/20211018/2183549/2183549_1_500.jpg?t=20220628165227,74%,26%,0%,26%,19%,14%,19%,22%
여성 퀼팅 리버서블 보아 패딩 점퍼_005(10390-110-802-69),https://www.musinsa.com/app/goods/2901882,69900,49900,행텐,400회 이상,,40,//image.msscdn.net/images/goods_img/20221028/2901882/2901882_2_500.jpg?t=20221028153526,,,,,,,,
글로시 리버서블 다운 점퍼_실버,https://www.musinsa.com/app/goods/2939775,298000,268200,크랭크,400회 이상,,93,//image.msscdn.net/images/goods_img/20221113/2939775/2939775_1_500.jpg?t=20221113230930,,,,,,,,
미니멀 구스다운 오버핏 숏푸퍼 Dark Khaki,https://www.musinsa.com/app/goods/2220272,397000,359000,세븐셀라,3.2천 회 이상,50개 미만,218,//image.msscdn.net/images/goods_img/20211105/2220272/2220272_2_500.jpg?t=20221019164419,90%,10%,5%,5%,24%,19%,33%,14%
브라우니 덕다운 자켓 3.0 S.BLUE,https://www.musinsa.com/app/goods/2863879,359000,359000,코닥,4.8천 회 이상,50개 미만,418,//image.msscdn.net/images/goods_img/20221014/2863879/2863879_1_500.jpg?t=20221014155046,64%,36%,18%,0%,14%,23%,32%,13%
NJ2YN50C 히말라얀 집인집 파카,https://www.musinsa.com/app/goods/2717999,790000,711000,노스페이스,2.5천 회 이상,,50,//image.msscdn.net/images/goods_img/20220816/2717999/2717999_1_500.jpg?t=20220816133230,,,,,,,,
나일론라이트웨이트후드롱테크다운점퍼 MUDJ8142,https://www.musinsa.com/app/goods/1628982,199000,69900,마인드브릿지,600회 이상,,154,//image.msscdn.net/images/goods_img/20200928/1628982/1628982_4_500.jpg?t=20221108172021,,,,,,,,
반슬리 RDS 다운 여성 숏패딩 (L/BEIGE),https://www.musinsa.com/app/goods/2746786,299000,299000,디스커버리 익스페디션,4.6천 회 이상,,560,//image.msscdn.net/images/goods_img/20220826/2746786/2746786_5_500.jpg?t=20221110160649,,,,,,,,
코틀랜드 다운 9566 블랙,https://www.musinsa.com/app/goods/2858684,398000,278600,캉골,800회 이상,,49,//image.msscdn.net/images/goods_img/20221013/2858684/2858684_1_500.jpg?t=20221013141850,,,,,,,,
[19FW] ALEUT PADDING ANORAK_BLACK,https://www.musinsa.com/app/goods/1173921,189000,66150,배드인배드,1천 회 이상,50개 미만,190,//image.msscdn.net/images/goods_img/20191001/1173921/1173921_1_500.jpg?t=20191011194143,72%,28%,4%,4%,16%,24%,24%,28%
SLS PLAIN PADDING - BLACK,https://www.musinsa.com/app/goods/1151985,149000,59600,슬로우서비스,1.7천 회 이상,100개 이상,651,//image.msscdn.net/images/goods_img/20190911/1151985/1151985_1_500.jpg?t=20220628150504,78%,22%,15%,32%,25%,8%,7%,13%
N184UDW800 우라누스 롱 구스 다운 점퍼 FORGED IRON GREY,https://www.musinsa.com/app/goods/915589,599000,299500,내셔널지오그래픽,3.9천 회 이상,50개 미만,373,//image.msscdn.net/images/goods_img/20181130/915589/915589_1_500.jpg?t=20220628144544,32%,68%,3%,13%,39%,23%,6%,16%
여성 폭스퍼 중힙 다운,https://www.musinsa.com/app/goods/2931549,398000,398000,게스,2.3천 회 이상,,76,//image.msscdn.net/images/goods_img/20221109/2931549/2931549_1_500.jpg?t=20221109180116,,,,,,,,
반슬리 다운 남성 롱패딩 (BLACK),https://www.musinsa.com/app/goods/2782238,349000,349000,디스커버리 익스페디션,3.7천 회 이상,50개 미만,152,//image.msscdn.net/images/goods_img/20220908/2782238/2782238_4_500.jpg?t=20221121095955,63%,37%,11%,7%,19%,22%,11%,30%
PERTEX® Down Pullover Black,https://www.musinsa.com/app/goods/2889305,289000,289000,디스이즈네버댓,3천 회 이상,,259,//image.msscdn.net/images/goods_img/20221025/2889305/2889305_1_500.jpg?t=20221025111745,,,,,,,,
여성 페이크퍼 카라넥 웰론 패딩점퍼_101(10390-110-803-69),https://www.musinsa.com/app/goods/2853728,139800,62910,행텐,800회 이상,,92,//image.msscdn.net/images/goods_img/20221012/2853728/2853728_3_500.jpg?t=20221012135335,,,,,,,,
에센셜리버시블다운자켓_SI,https://www.musinsa.com/app/goods/2847368,199000,149000,비씨씨,1.1천 회 이상,50개 미만,45,//image.msscdn.net/images/goods_img/20221007/2847368/2847368_2_500.jpg?t=20221115163406,45%,55%,9%,9%,23%,27%,14%,18%
임페커블리 덕 다운 숏 푸퍼 점퍼-블랙,https://www.musinsa.com/app/goods/2056234,159000,119250,필루미네이트,2.1천 회 이상,50개 이상,456,//image.msscdn.net/images/goods_img/20210810/2056234/2056234_3_500.jpg?t=20211006141220,67%,33%,10%,33%,21%,17%,10%,9%
[20FW] F204UDW905 라이트 스탠드 넥 다운 GREY,https://www.musinsa.com/app/goods/1632565,139000,69500,엔에프엘,200회 이상,,42,//image.msscdn.net/images/goods_img/20201005/1632565/1632565_4_500.jpg?t=20201012150252,,,,,,,,
DETACHABLE PUFFER SHORT PADDING IVORY,https://www.musinsa.com/app/goods/2870581,189000,179550,로라로라,5.3천 회 이상,,785,//image.msscdn.net/images/goods_img/20221017/2870581/2870581_1_500.jpg?t=20221116155146,,,,,,,,
NJ2DN50D 에어 히트 다운 자켓,https://www.musinsa.com/app/goods/2863441,429000,386100,노스페이스,2.6천 회 이상,,99,//image.msscdn.net/images/goods_img/20221014/2863441/2863441_1_500.jpg?t=20221014151703,,,,,,,,
베르크 리버시블 RDS 구스다운 남성 숏패딩 (BLACK),https://www.musinsa.com/app/goods/2823344,379000,379000,디스커버리 익스페디션,2.8천 회 이상,50개 미만,173,//image.msscdn.net/images/goods_img/20220927/2823344/2823344_4_500.jpg?t=20221110160524,53%,47%,13%,13%,20%,13%,28%,13%
레스터G RDS 구스다운 남성 숏패딩 (BLACK),https://www.musinsa.com/app/goods/2728234,359000,359000,디스커버리 익스페디션,2천 회 이상,50개 미만,77,//image.msscdn.net/images/goods_img/20220819/2728234/2728234_3_500.jpg?t=20221101184128,36%,64%,20%,8%,16%,16%,0%,40%
스퀘어 퀼팅 다운 셔켓 (Black),https://www.musinsa.com/app/goods/2831088,189000,189000,하이드아웃,1천 회 이상,,66,//image.msscdn.net/images/goods_img/20220929/2831088/2831088_2_500.jpg?t=20221008220636,,,,,,,,
아메리칸 몬스터파카 숏 다운 점퍼 BLACK_FM4WD25U,https://www.musinsa.com/app/goods/2193060,299000,119600,펜필드,2천 회 이상,50개 미만,100,//image.msscdn.net/images/goods_img/20211021/2193060/2193060_3_500.jpg?t=20221020151110,100%,0%,0%,3%,13%,46%,17%,21%
N214MDW860 알리오스 넥리스 경량 다운 점퍼 URBAN BEIGE,https://www.musinsa.com/app/goods/2144572,169000,125200,내셔널지오그래픽,900회 이상,,153,//image.msscdn.net/images/goods_img/20210924/2144572/2144572_1_500.jpg?t=20220628164452,,,,,,,,
크롭 푸퍼 다운 패딩_블랙,https://www.musinsa.com/app/goods/2946902,320000,320000,아르반,200회 이상,,24,//image.msscdn.net/images/goods_img/20221117/2946902/2946902_1_500.jpg?t=20221118141433,,,,,,,,
DETACHABLE HOOD DOWN PUFFER JACKET [LEMON],https://www.musinsa.com/app/goods/2850716,268000,241200,5252 바이 오아이오아이,800회 이상,,129,//image.msscdn.net/images/goods_img/20221011/2850716/2850716_1_500.jpg?t=20221011130524,,,,,,,,
22AW Women Snowman Down Jacket (Deep Forest),https://www.musinsa.com/app/goods/2879088,298000,298000,어나더 오피스,900회 이상,,28,//image.msscdn.net/images/goods_img/20221020/2879088/2879088_1_500.jpg?t=20221021163720,,,,,,,,
