제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
TC4-JP06 로빈 후드 다운-아몬드베이지,https://www.musinsa.com/app/goods/2931543,297000,282150,토마스모어,2천 회 이상,,90,//image.msscdn.net/images/goods_img/20221109/2931543/2931543_1_500.jpg?t=20221109175959,,,,,,,,
숏 패딩 자켓 (Jet Black),https://www.musinsa.com/app/goods/2184337,349000,349000,엔조 블루스,2.6천 회 이상,50개 이상,714,//image.msscdn.net/images/goods_img/20211018/2184337/2184337_1_500.jpg?t=20221025160427,17%,83%,3%,22%,44%,14%,10%,7%
HIGH NECK DOUBLE LONG GOOSE DOWN,https://www.musinsa.com/app/goods/2679332,409000,368100,메종미네드,3.7천 회 이상,,222,//image.msscdn.net/images/goods_img/20220722/2679332/2679332_2_500.jpg?t=20221028100054,,,,,,,,
[아이브 레이 PICK] 클럽 파이핑 숏 패딩 점퍼 - 실버,https://www.musinsa.com/app/goods/2711767,129000,94000,에프씨엠엠,3.9천 회 이상,50개 이상,284,//image.msscdn.net/images/goods_img/20220811/2711767/2711767_1_500.jpg?t=20220816154248,38%,62%,28%,24%,19%,4%,4%,21%
RS Quilted Jacket Khaki,https://www.musinsa.com/app/goods/2814796,189000,170100,디스이즈네버댓,3천 회 이상,50개 미만,268,//image.msscdn.net/images/goods_img/20220923/2814796/2814796_1_500.jpg?t=20220928141759,50%,50%,5%,25%,25%,30%,5%,10%
페이즐리 후디 숏패딩 NY (D.Navy),https://www.musinsa.com/app/goods/2763314,399000,399000,엠엘비,,,13,//image.msscdn.net/images/goods_img/20220901/2763314/2763314_2_500.jpg?t=20220905102558,,,,,,,,
헤비 패디드 클립 롱 패딩 카키 FPJ208,https://www.musinsa.com/app/goods/2204880,228000,128000,플루크,2.4천 회 이상,50개 이상,459,//image.msscdn.net/images/goods_img/20211028/2204880/2204880_3_500.jpg?t=20220628164937,60%,40%,5%,4%,21%,33%,13%,24%
CIRCLE EMBO RDS DOWN JACKET - BEIGE,https://www.musinsa.com/app/goods/2172879,279000,209250,골스튜디오,800회 이상,50개 미만,273,//image.msscdn.net/images/goods_img/20211012/2172879/2172879_1_500.jpg?t=20211014214903,51%,49%,0%,10%,31%,13%,10%,36%
Useful Over Short Padding_Black,https://www.musinsa.com/app/goods/1253158,199000,69650,닉앤니콜,7.7천 회 이상,300개 이상,"2,857",//image.msscdn.net/images/goods_img/20191217/1253158/1253158_1_500.jpg?t=20191218140321,69%,31%,18%,34%,24%,9%,2%,13%
우먼스 숏 다운 점퍼 [BLACK],https://www.musinsa.com/app/goods/2829980,159000,129000,골라,1.9천 회 이상,50개 미만,128,//image.msscdn.net/images/goods_img/20220929/2829980/2829980_1_500.jpg?t=20221012192612,18%,82%,14%,25%,14%,11%,4%,32%
PADDED CARDIGAN - NAVY,https://www.musinsa.com/app/goods/2684452,139000,119540,노매뉴얼,3.7천 회 이상,,104,//image.msscdn.net/images/goods_img/20220727/2684452/2684452_1_500.jpg?t=20220802131726,,,,,,,,
RDS 리버시블 플리스 다운 점퍼 그레이,https://www.musinsa.com/app/goods/2184716,249000,174300,커버낫,1.5천 회 이상,300개 이상,"1,949",//image.msscdn.net/images/goods_img/20211018/2184716/2184716_1_500.jpg?t=20220628164731,62%,38%,13%,29%,29%,15%,5%,9%
베이직 푸퍼 자켓+행커칩 글러브(SET) IVORY,https://www.musinsa.com/app/goods/2799751,185000,185000,프라이,2.1천 회 이상,,169,//image.msscdn.net/images/goods_img/20220916/2799751/2799751_2_500.jpg?t=20221114154441,,,,,,,,
